seed,day,hour,functional_pickups,functional_deliveries,depot_visits,depot_deliveries,unique_stations_visited,breakdowns_onsite,breakdowns_depot,damaged_fraction_onsite,damaged_fraction_depot,restored_onsite,restored_depot,total_breakdowns,total_restored,starvations,congestions,bike_departures,bike_arrivals,total_trips,new_failures_body_accessories,new_failures_drivetrain,new_failures_steering_chassis,new_failures_wheels_tires,new_failures_braking_system,new_failures_electronics,new_failures_locking_system
50,6,23,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,-15,-24,-22,-11,-13,-15,-13
50,7,0,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,7,1,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,2,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,3,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,7,4,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,2,0,24,18,26,0,0,0,0,0,0,0
50,7,5,0,0,0,0,0,0,0,0.0145,0.0145,0,0,0,0,11,3,185,152,196,0,0,0,0,0,0,0
50,7,6,17,35,1,0,4,0,2,0.0145,0.0172,0,0,2,0,18,2,176,181,194,1,0,0,1,0,0,0
50,7,7,30,32,0,0,5,0,0,0.0145,0.0172,0,0,0,0,9,7,117,137,126,0,0,0,0,0,0,0
50,7,8,46,26,0,0,5,0,0,0.0145,0.0172,0,0,0,0,8,3,116,108,124,0,0,0,0,0,0,0
50,7,9,19,19,0,0,4,0,0,0.0132,0.0172,1,0,0,1,8,1,128,124,136,0,0,0,0,0,0,0
50,7,10,27,35,0,0,6,0,0,0.0132,0.0172,0,0,0,0,12,2,174,165,186,0,0,0,0,0,0,0
50,7,11,25,37,0,0,5,1,2,0.0145,0.0198,0,0,3,0,8,0,166,169,174,0,1,0,1,1,0,0
50,7,12,41,29,0,0,5,0,0,0.0145,0.0198,0,0,0,0,13,5,227,215,240,0,0,0,0,0,0,0
50,7,13,30,41,0,0,7,1,1,0.0158,0.0211,0,0,2,0,2,4,196,198,198,1,0,0,1,0,0,0
50,7,14,15,0,0,0,2,1,2,0.0106,0.0237,5,0,3,5,40,1,374,346,414,0,1,0,0,1,1,0
50,7,15,28,42,0,0,5,1,0,0.0119,0.0237,0,0,1,0,10,3,256,279,266,0,1,0,0,0,0,0
50,7,16,32,34,0,0,6,1,0,0.0132,0.0237,0,0,1,0,8,0,160,171,168,0,0,0,0,0,1,0
50,7,17,32,16,0,0,5,1,1,0.0145,0.0237,0,0,2,0,4,2,158,164,162,1,0,0,0,0,0,1
50,7,18,22,36,0,0,6,1,1,0.0145,0.0264,0,0,2,0,3,0,159,152,162,1,0,0,0,0,0,1
50,7,19,23,10,1,5,4,0,1,0.0159,0.0212,0,0,1,0,0,0,100,116,100,1,0,0,0,0,0,0
50,7,20,0,0,0,0,0,0,0,0.0159,0.0212,0,0,0,0,2,0,72,84,74,0,0,0,0,0,0,0
50,7,21,0,0,0,0,0,2,0,0.0186,0.0212,0,0,2,0,2,0,80,75,82,1,0,0,0,0,0,1
50,7,22,0,0,0,0,0,0,0,0.0186,0.0212,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0
50,7,23,0,0,0,0,0,0,0,0.0186,0.0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,0,0,0,0,0,0,0,0,0.0186,0.0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,1,0,0,0,0,0,0,0,0.0186,0.0212,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0
50,8,2,0,0,0,0,0,0,0,0.0186,0.0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,3,0,0,0,0,0,0,0,0.0186,0.0212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,8,4,0,0,0,0,0,0,2,0.0186,0.0212,0,0,2,0,0,0,24,19,24,0,0,0,1,0,1,0
50,8,5,0,0,0,0,0,0,0,0.0186,0.0239,0,0,0,0,21,2,205,180,226,0,0,0,0,0,0,0
50,8,6,19,20,1,0,3,2,1,0.0211,0.0251,0,5,3,5,23,15,171,170,194,0,0,0,1,1,1,0
50,8,7,35,35,0,0,5,0,1,0.0211,0.0264,0,0,1,0,9,4,135,127,144,1,0,0,0,0,0,0
50,8,8,31,31,0,0,5,1,0,0.0185,0.0264,3,0,1,3,2,7,154,164,156,0,0,0,1,0,0,0
50,8,9,13,27,0,0,7,2,0,0.0198,0.0264,1,0,2,1,8,0,154,147,162,0,0,0,0,1,0,1
50,8,10,15,18,0,0,3,2,2,0.0198,0.0277,2,0,4,2,4,0,152,154,156,0,2,0,1,1,0,0
50,8,11,35,31,0,0,7,0,0,0.0198,0.029,0,0,0,0,2,2,140,140,142,0,0,0,0,0,0,0
50,8,12,19,25,0,0,4,0,0,0.0185,0.029,1,0,0,1,5,0,227,215,232,0,0,0,0,0,0,0
50,8,13,25,25,0,0,6,1,0,0.0185,0.029,1,0,1,1,17,0,309,285,326,0,0,0,1,0,0,0
50,8,14,31,17,0,0,3,2,1,0.0198,0.0303,1,0,3,1,22,4,328,337,350,2,0,0,0,0,1,0
50,8,15,16,29,0,0,3,0,1,0.0198,0.0317,0,0,1,0,7,6,171,207,178,0,1,0,0,0,0,0
50,8,16,25,17,0,0,4,0,1,0.0172,0.033,2,0,1,2,4,4,228,203,232,0,0,1,0,0,0,0
50,8,17,23,27,0,0,4,0,0,0.0172,0.033,0,0,0,0,7,6,173,187,180,0,0,0,0,0,0,0
50,8,18,34,26,0,0,7,1,1,0.0172,0.0343,0,0,2,0,1,4,97,116,98,1,1,0,0,0,0,0
50,8,19,15,24,1,5,5,0,1,0.0184,0.0289,0,9,1,9,2,0,80,74,82,0,0,0,0,0,1,0
50,8,20,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,0,7,80,87,80,0,0,0,0,0,0,0
50,8,21,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,0,5,44,48,44,0,0,0,0,0,0,0
50,8,22,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0
50,8,23,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,0,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,1,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,2,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,9,3,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,9,4,0,0,0,0,0,0,0,0.0184,0.0289,0,0,0,0,3,0,29,22,32,0,0,0,0,0,0,0
50,9,5,0,0,0,0,0,0,1,0.0184,0.0302,0,0,1,0,7,6,197,164,204,1,0,0,0,0,0,0
50,9,6,27,20,1,0,4,3,0,0.0223,0.0302,0,0,3,0,19,11,205,205,224,1,0,0,2,0,0,0
50,9,7,18,34,0,0,4,2,0,0.0249,0.0302,0,0,2,0,20,1,108,129,128,1,0,0,0,0,1,0
50,9,8,30,28,0,0,7,0,0,0.0249,0.0302,0,0,0,0,11,0,155,143,166,0,0,0,0,0,0,0
50,9,9,36,28,0,0,5,1,0,0.0262,0.0302,0,0,1,0,7,0,159,171,166,1,0,0,0,0,0,0
50,9,10,18,32,0,0,5,2,1,0.0276,0.0315,1,0,3,1,7,0,197,182,204,2,1,0,0,0,0,0
50,9,11,33,20,0,0,6,1,0,0.0262,0.0315,1,0,1,1,4,0,170,165,174,0,0,1,0,0,0,0
50,9,12,20,21,0,0,4,1,2,0.0276,0.0341,1,0,3,1,0,2,232,227,232,0,1,1,1,0,0,0
50,9,13,19,23,0,0,5,2,0,0.0289,0.0341,1,0,2,1,36,4,286,284,322,0,2,0,0,0,0,0
50,9,14,21,15,0,0,2,1,1,0.0302,0.0354,0,0,2,0,18,14,308,296,326,1,0,1,0,0,0,0
50,9,15,28,42,0,0,5,1,1,0.0289,0.0367,2,0,2,2,8,3,238,256,246,0,0,1,0,0,1,0
